pilot_unit_id,source_name,disclosure_function_id,function_display_name,tier,default_applicability,selection_rationale,specification_version,corpus_lock_reference
NL-ALGO-REG__cf_purpose,NL-ALGO-REG,cf_purpose,Purpose,core,universal,clear_dedicated: NL goal is dedicated purpose,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
NL-ALGO-REG__om_human_oversight,NL-ALGO-REG,om_human_oversight,Human oversight description,module,object_specific,clear_dedicated: NL human_intervention,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
US-OMB-2025__cf_operational_status,US-OMB-2025,cf_operational_status,Operational status,core,universal,clear_dedicated: development_stage,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
US-OMB-2025__om_risk_or_impact,US-OMB-2025,om_risk_or_impact,Risk or impact designation,module,object_specific,clear_dedicated: is_high_impact flag,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
CA-GC-AI-REG__cf_accountable_body,CA-GC-AI-REG,cf_accountable_body,Accountable body identification,core,universal,clear_dedicated: government_organization,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
UK-ATRS__cf_purpose,UK-ATRS,cf_purpose,Purpose,core,universal,uk_api_slim: description INDIRECT purpose only,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
UK-ATRS__cf_accountable_body,UK-ATRS,cf_accountable_body,Accountable body identification,core,object_specific,uk_api_slim: organisation_title publisher INDIRECT,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
UK-ATRS__cf_operational_status,UK-ATRS,cf_operational_status,Operational status,core,object_specific,clear_absent: no status field on API slim,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
CA-GC-AI-REG__om_legal_basis,CA-GC-AI-REG,om_legal_basis,Legal basis,module,jurisdiction_specific,clear_absent: no lawful_basis field,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
EU-PSTW__cf_data_involvement,EU-PSTW,cf_data_involvement,Data involvement,core,catalogue_inapplicable,catalogue_inapplicable: PSTW contrast,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
EU-PSTW__om_risk_or_impact,EU-PSTW,om_risk_or_impact,Risk or impact designation,module,catalogue_inapplicable,catalogue_inapplicable + outcome-flag trap,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
US-OMB-2025__om_human_oversight,US-OMB-2025,om_human_oversight,Human oversight description,module,conditional,conditional: US hi_* high-impact subclass,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
US-OMB-2025__om_redress_pointer,US-OMB-2025,om_redress_pointer,Redress pointer,module,conditional,conditional: hi_appeal_process only,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
CA-GC-AI-REG__cf_purpose,CA-GC-AI-REG,cf_purpose,Purpose,core,universal,generic_narrative: description_ai_system_en host,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
EU-PSTW__cf_purpose,EU-PSTW,cf_purpose,Purpose,core,object_specific,generic_narrative: Description dedicated-once purpose,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
CA-GC-AI-REG__om_technical_method,CA-GC-AI-REG,om_technical_method,Technical method or capability,module,universal,purpose_vs_technical: capabilities vs description,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
US-OMB-2025__om_supplier,US-OMB-2025,om_supplier,Supplier identification,module,universal,accountable_vs_supplier: vendor_name not agency,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
NL-ALGO-REG__om_supplier,NL-ALGO-REG,om_supplier,Supplier identification,module,universal,accountable_vs_supplier: provider vs organization,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
US-OMB-2025__cf_data_involvement,US-OMB-2025,cf_data_involvement,Data involvement,core,universal,linkage: has_pii primary + link_to_data linkage,1.0.0,12ea6282efcf338d362c8eb91a9beffe8dd7eae9f70aa2805723b386c9c8d693
