record_type,configuration,profile_id,profile_group,excluded_dimensions,overall_maturity,readiness_raw,readiness_final,readiness_band,safeguard_applied,rank,readiness_delta_vs_full,safeguard_delta_vs_full,reference,alternate,spearman,kendall_tau,profiles_rank_changed,total_rank_displacement,mean_readiness_delta,mean_abs_readiness_delta,safeguard_applied_full,safeguard_applied_alternate,safeguard_activation_delta
profile,full,grb_sens_0000,baseline,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0001,baseline,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0002,baseline,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0003,baseline,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0004,baseline,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0005,baseline,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0006,baseline,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0007,baseline,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0008,baseline,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0009,baseline,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0010,low_d2,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0011,low_d2,none,2.667,66.67,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0012,low_d2,none,2.833,70.83,70.83,Substantially ready,False,65,,,,,,,,,,,,,
profile,full,grb_sens_0013,low_d2,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
profile,full,grb_sens_0014,low_d2,none,3.167,79.17,79.17,Advanced readiness,False,19,,,,,,,,,,,,,
profile,full,grb_sens_0015,low_d2,none,2.5,62.5,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0016,low_d2,none,2.667,66.67,60.0,Substantially ready,True,103,,,,,,,,,,,,,
profile,full,grb_sens_0017,low_d2,none,2.833,70.83,70.83,Substantially ready,False,65,,,,,,,,,,,,,
profile,full,grb_sens_0018,low_d2,none,3.0,75.0,75.0,Advanced readiness,False,42,,,,,,,,,,,,,
