profile_id,profile_group,d2_input_level,d4_input_level,d6_input_level,d1_score,d2_score,d3_score,d4_score,d5_score,d6_score,overall_maturity,readiness_raw,readiness_final,readiness_band,safeguard_applied,readiness_delta_raw_final
grb_sens_0000,baseline,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0001,baseline,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0002,baseline,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0003,baseline,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0004,baseline,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0005,baseline,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0006,baseline,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0007,baseline,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0008,baseline,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0009,baseline,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0010,low_d2,0,3,3,3.0,0.0,3.0,3.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0011,low_d2,1,3,3,3.0,1.0,3.0,3.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True,6.67
grb_sens_0012,low_d2,2,3,3,3.0,2.0,3.0,3.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False,0.0
grb_sens_0013,low_d2,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0014,low_d2,4,3,3,3.0,4.0,3.0,3.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False,0.0
grb_sens_0015,low_d2,0,3,3,3.0,0.0,3.0,3.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0016,low_d2,1,3,3,3.0,1.0,3.0,3.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True,6.67
grb_sens_0017,low_d2,2,3,3,3.0,2.0,3.0,3.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False,0.0
grb_sens_0018,low_d2,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False,0.0
grb_sens_0019,low_d2,4,3,3,3.0,4.0,3.0,3.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False,0.0
grb_sens_0020,low_d2,0,3,3,3.0,0.0,3.0,3.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True,2.5
grb_sens_0021,low_d2,1,3,3,3.0,1.0,3.0,3.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True,6.67
