record_type,study_id,metric_name,metric_value,n_units,n_raters,case_id,indicator_id,dimension_id,spread,unanimous,score_assessor_1,score_assessor_2,score_assessor_3,disagreement_count
metric,grb-irr-pilot-synthetic,percent_agreement,0.9074,162,3,,,,,,,,,
metric,grb-irr-pilot-synthetic,cohens_kappa_assessor_1_vs_assessor_2,0.9261,162,3,,,,,,,,,
metric,grb-irr-pilot-synthetic,cohens_kappa_assessor_1_vs_assessor_3,0.918,162,3,,,,,,,,,
metric,grb-irr-pilot-synthetic,cohens_kappa_assessor_2_vs_assessor_3,0.8457,162,3,,,,,,,,,
metric,grb-irr-pilot-synthetic,fleiss_kappa,0.8963,162,3,,,,,,,,,
disagreement,grb-irr-pilot-synthetic,,,,,case_alpha,d2_intervention_01,d2,1,False,1,2,1,
disagreement,grb-irr-pilot-synthetic,,,,,case_alpha,d2_oversight_design_01,d2,1,False,1,2,1,
disagreement,grb-irr-pilot-synthetic,,,,,case_alpha,d2_traceability_01,d2,1,False,1,2,1,
disagreement,grb-irr-pilot-synthetic,,,,,case_alpha,d4_data_sovereignty_03,d4,1,False,1,1,0,
disagreement,grb-irr-pilot-synthetic,,,,,case_alpha,d4_lawfulness_03,d4,1,False,1,1,0,
disagreement,grb-irr-pilot-synthetic,,,,,case_alpha,d4_minimization_03,d4,1,False,1,1,0,
disagreement,grb-irr-pilot-synthetic,,,,,case_beta,d2_intervention_02,d2,1,False,3,2,3,
disagreement,grb-irr-pilot-synthetic,,,,,case_beta,d2_traceability_02,d2,1,False,3,2,3,
disagreement,grb-irr-pilot-synthetic,,,,,case_beta,d6_capacity_03,d6,1,False,3,3,4,
disagreement,grb-irr-pilot-synthetic,,,,,case_beta,d6_infrastructure_01,d6,1,False,3,3,4,
disagreement,grb-irr-pilot-synthetic,,,,,case_beta,d6_vendor_independence_02,d6,1,False,3,3,4,
disagreement,grb-irr-pilot-synthetic,,,,,case_gamma,d2_oversight_design_03,d2,1,False,1,1,0,
disagreement,grb-irr-pilot-synthetic,,,,,case_gamma,d4_lawfulness_02,d4,1,False,2,3,2,
disagreement,grb-irr-pilot-synthetic,,,,,case_gamma,d4_minimization_03,d4,1,False,2,3,2,
disagreement,grb-irr-pilot-synthetic,,,,,case_gamma,d6_capacity_01,d6,1,False,3,3,2,
dimension_summary,grb-irr-pilot-synthetic,,,,,,,d2,,,,,,6
dimension_summary,grb-irr-pilot-synthetic,,,,,,,d4,,,,,,5
dimension_summary,grb-irr-pilot-synthetic,,,,,,,d6,,,,,,4
