profile_id,scenario,d2_input_level,d4_input_level,d6_input_level,d1_score,d2_score,d3_score,d4_score,d5_score,d6_score,overall_maturity,readiness_raw,readiness_final,readiness_band,safeguard_applied
sens_000,d2_sweep,0,3,3,3.0,0.0,3.0,3.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True
sens_001,d2_sweep,1,3,3,3.0,1.0,3.0,3.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True
sens_002,d2_sweep,2,3,3,3.0,2.0,3.0,3.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False
sens_003,d2_sweep,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False
sens_004,d2_sweep,4,3,3,3.0,4.0,3.0,3.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False
sens_005,d2_sweep,0,3,3,3.0,0.0,3.0,3.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True
sens_006,d2_sweep,1,3,3,3.0,1.0,3.0,3.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True
sens_007,d2_sweep,2,3,3,3.0,2.0,3.0,3.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False
sens_008,d2_sweep,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False
sens_009,d2_sweep,4,3,3,3.0,4.0,3.0,3.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False
sens_010,d2_sweep,0,3,3,3.0,0.0,3.0,3.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True
sens_011,d2_sweep,1,3,3,3.0,1.0,3.0,3.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True
sens_012,d2_sweep,2,3,3,3.0,2.0,3.0,3.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False
sens_013,d2_sweep,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False
sens_014,d2_sweep,4,3,3,3.0,4.0,3.0,3.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False
sens_015,d2_sweep,0,3,3,3.0,0.0,3.0,3.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True
sens_016,d2_sweep,1,3,3,3.0,1.0,3.0,3.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True
sens_017,d2_sweep,2,3,3,3.0,2.0,3.0,3.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False
sens_018,d2_sweep,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False
sens_019,d2_sweep,4,3,3,3.0,4.0,3.0,3.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False
sens_020,d2_sweep,0,3,3,3.0,0.0,3.0,3.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True
sens_021,d2_sweep,1,3,3,3.0,1.0,3.0,3.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True
sens_022,d2_sweep,2,3,3,3.0,2.0,3.0,3.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False
sens_023,d2_sweep,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False
sens_024,d2_sweep,4,3,3,3.0,4.0,3.0,3.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False
sens_025,d2_sweep,0,3,3,3.0,0.0,3.0,3.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True
sens_026,d2_sweep,1,3,3,3.0,1.0,3.0,3.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True
sens_027,d2_sweep,2,3,3,3.0,2.0,3.0,3.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False
sens_028,d2_sweep,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False
sens_029,d2_sweep,4,3,3,3.0,4.0,3.0,3.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False
sens_030,d2_sweep,0,3,3,3.0,0.0,3.0,3.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True
sens_031,d2_sweep,1,3,3,3.0,1.0,3.0,3.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True
sens_032,d2_sweep,2,3,3,3.0,2.0,3.0,3.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False
sens_033,d2_sweep,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False
sens_034,d4_sweep,3,0,3,3.0,3.0,3.0,0.0,3.0,3.0,2.5,62.5,60.0,Substantially ready,True
sens_035,d4_sweep,3,1,3,3.0,3.0,3.0,1.0,3.0,3.0,2.667,66.67,60.0,Substantially ready,True
sens_036,d4_sweep,3,2,3,3.0,3.0,3.0,2.0,3.0,3.0,2.833,70.83,70.83,Substantially ready,False
sens_037,d4_sweep,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,75.0,75.0,Advanced readiness,False
sens_038,d4_sweep,3,4,3,3.0,3.0,3.0,4.0,3.0,3.0,3.167,79.17,79.17,Advanced readiness,False
